,date_use,Daily.Confirmed,Total.Confirmed,Daily.Recovered,Total.Recovered,Daily.Deceased,Total.Deceased
722,2022/2/20,765,2652672,7260,2538900,42,29501
723,2022/2/21,1336,2654008,6394,2546160,32,29533
724,2022/2/22,1726,2655734,5318,2552554,41,29574
725,2022/2/23,1432,2657166,2562,2557873,24,29598
726,2022/2/24,1311,2658477,2100,2560434,24,29622
727,2022/2/25,1125,2659602,5399,2562534,26,29648
728,2022/2/26,571,2660173,4334,2567933,22,29670
729,2022/2/27,573,2660746,4211,2572267,18,29688
730,2022/2/28,1276,2662022,3520,2576478,28,29716
731,2022/3/1,1173,2663195,3896,2579998,26,29742
732,2022/3/2,929,2664124,1578,2583895,13,29755
733,2022/3/3,873,2664997,1115,2585472,17,29772
734,2022/3/4,736,2665733,3009,2586588,14,29786
735,2022/3/5,491,2666224,2474,2589596,20,29806
736,2022/3/6,345,2666569,2193,2592070,14,29820
737,2022/3/7,821,2667390,2040,2594263,12,29832
738,2022/3/8,756,2668146,1755,2596303,12,29844
739,2022/3/9,666,2668812,956,2598058,10,29854
740,2022/3/10,629,2669441,750,2599014,10,29864
741,2022/3/11,532,2669973,1309,2599764,6,29870
742,2022/3/12,314,2670287,1691,2601073,8,29878
743,2022/3/13,295,2670582,1403,2602764,2,29880
744,2022/3/14,672,2671254,1285,2604168,5,29885
745,2022/3/15,594,2671848,1102,2605453,8,29893
746,2022/3/16,626,2672474,560,2606555,6,29899
747,2022/3/17,569,2673043,562,2607115,8,29907
748,2022/3/18,584,2673627,1250,2607676,3,29910
749,2022/3/19,278,2673905,1150,2608927,5,29915
750,2022/3/20,255,2674160,910,2610076,3,29918
751,2022/3/21,677,2674837,856,2610987,3,29921
752,2022/3/22,742,2675579,721,2611842,2,29923
753,2022/3/23,562,2676141,481,2612563,2,29925
754,2022/3/24,323,2676464,338,2613045,0,29925
755,2022/3/25,19,2676483,805,2613383,1,29926
