date_use,Daily.Confirmed,Total.Confirmed,Daily.Recovered,Total.Recovered,Daily.Deceased,Total.Deceased
5/21/20,945,48753,0,0,28,2087
5/22/20,969,49722,0,0,43,2130
5/23/20,747,50469,0,0,35,2165
5/24/20,512,50981,0,0,39,2204
5/25/20,958,51939,0,0,28,2232
5/26/20,1702,53641,0,0,41,2273
5/27/20,1404,55045,0,0,50,2323
5/28/20,1276,56321,0,0,32,2355
5/29/20,1507,57828,0,0,33,2388
5/30/20,915,58743,0,0,37,2425
5/31/20,491,59234,0,0,31,2456
6/1/20,1229,60463,0,0,41,2497
6/2/20,1410,61873,0,0,30,2527
6/3/20,1344,63217,0,0,45,2572
6/4/20,1540,64757,0,0,46,2618
6/5/20,1388,66145,0,0,40,2658
6/6/20,1098,67243,0,0,36,2694
6/7/20,711,67954,0,0,35,2729
6/8/20,1605,69559,0,0,38,2767
6/9/20,1385,70944,0,0,37,2804
6/10/20,1570,72514,0,0,26,2830
6/11/20,1458,73972,0,0,25,2855
6/12/20,1587,75559,0,0,30,2885
6/13/20,1329,76888,0,0,28,2913
6/14/20,987,77875,0,0,29,2942
6/15/20,2240,80115,0,0,32,2974
6/16/20,2074,82189,0,0,24,2998
6/17/20,2221,84410,0,0,40,3038
6/18/20,2135,86545,0,0,29,3067
6/19/20,2126,88671,0,0,37,3104
6/20/20,1864,90535,0,0,39,3143
6/21/20,1477,92012,0,0,30,3173
6/22/20,2727,94739,0,0,30,3203
6/23/20,2740,97479,0,0,22,3225
6/24/20,2769,100248,0,0,39,3264
6/25/20,2603,102851,0,0,26,3290
6/26/20,2621,105472,0,0,30,3320
6/27/20,2067,107539,0,0,24,3344
6/28/20,1641,109180,0,0,40,3384
6/29/20,3032,112212,0,0,32,3416
6/30/20,2829,115041,0,0,38,3454
7/1/20,3362,118403,0,0,30,3484
7/2/20,3038,121441,0,0,41,3525
7/3/20,1880,123321,0,0,33,3558
7/4/20,1425,124746,0,0,29,3587
7/5/20,1705,126451,0,0,39,3626
7/6/20,2975,129426,0,0,35,3661
7/7/20,3386,132812,0,0,33,3694
7/8/20,3346,136158,0,0,36,3730
7/9/20,3017,139175,0,0,32,3762
7/10/20,3126,142301,0,0,40,3802
7/11/20,2277,144578,0,0,33,3835
7/12/20,1598,146176,0,0,30,3865
7/13/20,3269,149445,0,0,56,3921
7/14/20,3046,152491,0,0,47,3968
7/15/20,3011,155502,0,0,37,4005
7/16/20,3207,158709,0,0,44,4049
7/17/20,3074,161783,0,0,36,4085
7/18/20,2227,164010,0,0,32,4117
7/19/20,1349,165359,0,0,37,4154
7/20/20,3261,168620,0,0,41,4195
7/21/20,2837,171457,0,0,46,4241
7/22/20,2798,174255,0,0,51,4292
7/23/20,2550,176805,0,0,39,4331
7/24/20,2431,179236,0,0,39,4370
7/25/20,1949,181185,0,0,46,4416
7/26/20,1060,182245,0,0,44,4460
7/27/20,2439,184684,0,0,43,4503
7/28/20,2294,186978,0,0,33,4536
7/29/20,2147,189125,0,0,40,4576
7/30/20,1951,191076,0,0,41,4617
7/31/20,1958,193034,0,0,40,4657
8/1/20,1519,194553,0,0,46,4703
8/2/20,882,195435,0,0,39,4742
8/3/20,2002,197437,0,0,42,4784
8/4/20,1951,199388,0,0,51,4835
8/5/20,1878,201266,0,0,34,4869
8/6/20,1872,203138,0,0,37,4906
8/7/20,1996,205134,0,0,33,4939
8/8/20,1416,206550,0,0,35,4974
8/9/20,859,207409,0,0,40,5014
8/10/20,1980,209389,0,0,46,5060
8/11/20,1523,210912,0,0,43,5103
8/12/20,1438,212350,0,0,34,5137
8/13/20,1351,213701,0,0,31,5168
8/14/20,1312,215013,0,0,33,5201
8/15/20,1117,216130,0,0,33,5234
8/16/20,729,216859,0,0,37,5271
8/17/20,1506,218365,0,0,39,5310
8/18/20,1455,219820,0,0,29,5339
8/19/20,1239,221059,0,0,45,5384
8/20/20,1268,222327,0,0,37,5421
8/21/20,1187,223514,0,0,34,5455
8/22/20,859,224373,0,0,36,5491
8/23/20,632,225005,0,0,30,5521
8/24/20,1593,226598,0,0,26,5547
8/25/20,1310,227908,0,0,30,5577
8/26/20,1286,229194,0,0,28,5605
8/27/20,1014,230208,0,0,31,5636
8/28/20,969,231177,0,0,24,5660
8/29/20,795,231972,0,0,35,5695
8/30/20,609,232581,0,0,34,5729
8/31/20,1116,233697,0,0,31,5760
9/1/20,1063,234760,0,0,28,5788
9/2/20,1054,235814,0,0,23,5811
9/3/20,922,236736,0,0,24,5835
9/4/20,841,237577,0,0,31,5866
9/5/20,550,238127,0,0,22,5888
9/6/20,515,238642,0,0,22,5910
9/7/20,621,239263,0,0,26,5936
9/8/20,1022,240285,0,0,28,5964
9/9/20,921,241206,0,0,28,5992
9/10/20,852,242058,0,0,25,6017
9/11/20,941,242999,0,0,26,6043
9/12/20,661,243660,0,0,20,6063
9/13/20,544,244204,0,0,19,6082
9/14/20,1110,245314,0,0,18,6100
9/15/20,1020,246334,0,0,21,6121
9/16/20,1084,247418,0,0,20,6141
9/17/20,961,248379,0,0,19,6160
9/18/20,905,249284,0,0,14,6174
9/19/20,741,250025,0,0,16,6190
9/20/20,606,250631,0,0,15,6205
9/21/20,1216,251847,0,0,16,6221
9/22/20,1081,252928,0,0,19,6240
9/23/20,1048,253976,0,0,28,6268
